db,s(byte),sdb(byte),total time-server (s),fileToBufferTime (s),forLoopTime (s),getDataTime (s),sumMulTime (s),saveDataTime (s)
resources/10x1x8/,10,1048576,2.15142,0.0108072,2.14061,0.429635,0.823774,0.0757814
resources/10x1x8/,10,1048576,2.19449,0.00797774,2.18651,0.441157,0.841049,0.0806193
resources/10x1x16/,20,1048576,1.1568,0.00972396,1.14708,0.276382,0.419475,0.0382898
resources/10x1x16/,20,1048576,1.08065,0.00540284,1.07525,0.257981,0.395324,0.0313145
resources/10x1x32/,40,1048576,0.816543,0.00843158,0.808106,0.375772,0.212208,0.0187884
resources/10x1x32/,40,1048576,0.855628,0.0043061,0.85132,0.396538,0.223008,0.0203083
resources/100x64x8/,100,65536,1.36292,0.00503157,1.35789,0.290959,0.559239,0.00783816
resources/100x64x8/,100,65536,1.40103,0.0184373,1.38259,0.295912,0.572178,0.00785971
resources/100x64x16/,200,65536,0.763244,0.0174307,0.745807,0.193033,0.291644,0.00399955
resources/100x64x32/,400,65536,0.617396,0.0175176,0.599871,0.293682,0.163039,0.00303003
resources/100x64x32/,400,65536,0.610177,0.0130195,0.597153,0.293451,0.162034,0.00279315
resources/100x1x8/,100,1048576,21.2956,1.10598,20.1897,4.22587,8.50313,0.12618
resources/100x1x8/,100,1048576,20.0189,0.0524431,19.9664,4.20728,8.31767,0.109164
resources/100x1x16/,200,1048576,10.1319,0.0588925,10.073,2.51854,3.98484,0.0402209
resources/100x1x16/,200,1048576,10.1679,0.0441068,10.1238,2.53449,4.0084,0.0388848
resources/100x1x32/,400,1048576,7.56178,0.0399594,7.52182,3.65171,2.0557,0.0227826
resources/100x1x32/,400,1048576,7.45678,0.0349073,7.42187,3.6004,2.029,0.0214236
resources/100x1x32/,400,1048576,5.46388,1.12771,4.33618,0.63107,1.95042,0.016649
resources/100x1x8/,100,1048576,18.2199,1.12077,17.0991,2.48362,7.68572,0.062948
resources/100x1x8/,100,1048576,1.59061,0.0372251,1.55339,0,0,0.058903
resources/10x1x8/,10,1048576,0.329871,0.116848,0.21302,0,0,0
resources/10x1x16/,20,1048576,0.102722,0.00582916,0.0968913,0,0,0
resources/10x1x16/,20,1048576,0.0902329,0.00515566,0.0850742,0,0,0
resources/10x1x8/,10,1048576,0.183606,0.0085599,0.175043,0,0,0
resources/10x1x8/,10,1048576,0.169158,0.00496661,0.16419,0,0,0
resources/10x1x16/,20,1048576,0.102654,0.00941319,0.0932393,0,0,0
resources/10x1x16/,20,1048576,0.100136,0.00782842,0.0923049,0,0,0
resources/10x1x16/,20,1048576,0.0980969,0.0062881,0.0918065,0,0,0
resources/10x1x16/,20,1048576,0.10031,0.00588079,0.094428,0,0,0
resources/10x1x16/,20,1048576,0.101969,0.00652364,0.0954437,0,0,0
resources/10x1x16/,20,1048576,0.100389,0.00509667,0.0952904,0,0,0
resources/10x1x16/,20,1048576,0.13892,0.00612624,0.132792,0,0,0
resources/10x1x16/,20,1048576,0.0952178,0.00502675,0.0901893,0,0,0
resources/10x1x16/,20,1048576,0.0952679,0.00514706,0.090119,0,0,0
resources/10x1x16/,20,1048576,0.0950055,0.00481441,0.0901894,0,0,0
resources/10x1x8/,10,1048576,0.174427,0.00697751,0.167446,0,0,0
resources/10x1x32/,40,1048576,0.0563658,0.00882008,0.0475442,0,0,0
resources/10x1x32/,40,1048576,0.0581044,0.00867164,0.0494309,0,0,0
resources/10x1x32/,40,1048576,0.0545161,0.00592462,0.0485898,0,0,0
resources/10x1x16/,20,1048576,0.104913,0.00583817,0.0990735,0,0,0
resources/10x1x32/,40,1048576,0.0541605,0.00597765,0.048181,0,0,0
resources/10x1x32/,40,1048576,0.0600833,0.0101738,0.0499078,0,0,0
resources/10x1x32/,40,1048576,0.0549,0.00612477,0.0487733,0,0,0
resources/10x1x32/,40,1048576,0.0569487,0.00934664,0.0476004,0,0,0
resources/10x1x32/,40,1048576,0.0553276,0.00496608,0.0503591,0,0,0
resources/10x1x32/,40,1048576,0.0557025,0.00531688,0.0503836,0,0,0
resources/10x1x32/,40,1048576,0.0553099,0.00585702,0.0494512,0,0,0
resources/10x1x8/,10,1048576,0.166796,0.00500214,0.161792,0,0,0
resources/10x1x16/,20,1048576,0.103105,0.00791069,0.0951929,0,0,0
resources/10x1x32/,40,1048576,0.0552953,0.00535344,0.0499401,0,0,0
resources/10x1x32/,40,1048576,0.056275,0.00532827,0.0509446,0,0,0
resources/10x1x32/,40,1048576,0.062998,0.00848785,0.0545076,0,0,0
resources/10x1x32/,40,1048576,0.944274,0.00915366,0.935114,0,0,0
resources/10x1x8/,10,1048576,0.173398,0.00767241,0.165722,0,0,0
resources/10x1x16/,20,1048576,0.0977809,0.00529329,0.0924859,0,0,0
resources/10x1x16/,20,1048576,0.103115,0.00898064,0.0941308,0,0,0
resources/10x1x16/,20,1048576,0.0987534,0.00520279,0.0935479,0,0,0
resources/10x1x32/,40,1048576,0.055576,0.00650094,0.0490734,0,0,0
resources/10x1x32/,40,1048576,0.058249,0.00562445,0.0526227,0,0,0
resources/10x1x32/,40,1048576,0.0548835,0.00649802,0.0483832,0,0,0
resources/10x1x32/,40,1048576,0.0565744,0.00530158,0.0512709,0,0,0
resources/10x1x32/,40,1048576,0.0579654,0.00629936,0.0516605,0,0,0
resources/10x1x32/,40,1048576,0.0622253,0.00929459,0.0529287,0,0,0
resources/10x1x32/,40,1048576,0.0566202,0.00637751,0.0502412,0,0,0
resources/10x1x32/,40,1048576,0.0684264,0.0108491,0.0575759,0,0,0
resources/10x1x32/,40,1048576,0.0603559,0.00909503,0.0512589,0,0,0
resources/10x1x32/,40,1048576,0.0538637,0.00505207,0.0488094,0,0,0
resources/10x1x32/,40,1048576,0.0555556,0.00555016,0.0500037,0,0,0
resources/10x1x16/,20,1048576,0.104502,0.00879491,0.0957027,0,0,0
resources/10x1x16/,20,1048576,0.104217,0.00973519,0.0944765,0,0,0
resources/10x1x32/,40,1048576,0.0662411,0.0094489,0.0567903,0,0,0
resources/10x1x8s/,4,128,0.000271554,0.000148857,0.000117343,0,0,0
resources/10x1x8s/,8,128,0.000123306,7.545e-05,4.5283e-05,0,0,0
resources/10x1x8s/,16,128,0.000202812,0.000135531,6.1928e-05,0,0,0
resources/10x1x8s/,8,64,6.8297e-05,4.8232e-05,1.859e-05,0,0,0
resources/10x1x8s/,16,64,6.3069e-05,5.2496e-05,9.678e-06,0,0,0
resources/10x1x32/,40,1048576,0.0576723,0.00522623,0.0524442,0,0,0
resources/10x1x64/,80,1048576,0.0274195,0.00311255,0.0243047,0,0,0
resources/10x1x64/,80,1048576,0.029739,0.00406534,0.0256717,0,0,0
resources/10x1x64/,80,1048576,0.0287843,0.00295494,0.0258264,0,0,0
resources/10x1x64/,80,1048576,0.0403951,0.00336839,0.0370247,0,0,0
resources/10x1x64/,80,1048576,0.0336732,0.00295892,0.0307096,0,0,0
